Columnnr	Columnchar	shortname	fullquestion
345.0	"MG"	"meat_sold_income_2"	"How much money did you make from selling the   livestock_label  meat in the last 12 months"
346.0	"MH"	"livestock_meat_who_sells_2"	"Who usually decides what do to with the income from selling the   livestock_label  meat"
347.0	"MI"	"livestock_meat_who_control_eating_2"	"Who usually decides when to eat   livestock_label  meat"
348.0	"MJ"	"milk_harvest_2"	"Does your household collect milk from the   livestock_label"
349.0	"MK"	"milk_amount_good_season_2"	"About how much milk do the   livestock_label  produce  during the good season"
350.0	"ML"	"milk_units_2"	"Unit milk production"
351.0	"MM"	"milk_amount_bad_season_2"	"About how much milk do the   livestock_label  produce  during the bad season"
352.0	"MN"	"milk_number_animals_milked_2"	"How many   livestock_label  did you milk per day"
353.0	"MO"	"milk_amount_units_other_2"	"Define milk production  other  units"
354.0	"MP"	"milk_use_2"	"What does your household do with the   livestock_label  milk  Drink it at home  sell it  make dairy products"
355.0	"MQ"	"milk_consumed_amount_2"	"About how much of the   livestock_label  milk does the household consume"
356.0	"MR"	"milk_sell_amount_2"	"About how much   livestock_label  milk does your household sell"
357.0	"MS"	"milk_sold_income_2"	"How much money does your household make from selling the   livestock_label  milk"
358.0	"MT"	"milk_sold_price_timeunits_2"	"Time unit milk sales"
359.0	"MU"	"milk_amount_time_units_other_2"	"Specify  other  time units"
360.0	"MV"	"milk_who_sells_2"	"Who usually decides what do to with the income from selling the   livestock_label  milk"
361.0	"MW"	"milk_who_control_eating_2"	"Who usually decides when to eat the   livestock_label  milk"
362.0	"MX"	"eggs_harvest_2"	"Does your household collect eggs from the   livestock_label"
363.0	"MY"	"eggs_amount_good_2"	"How many eggs do the   livestock_label  usually produce  during the good season"
364.0	"MZ"	"eggs_units_2"	"Unit of egg production"
365.0	"NA"	"eggs_amount_bad_2"	"How many eggs do the   livestock_label  usually produce  during the bad season"
366.0	"NB"	"eggs_amount_units_other_2"	"Specify  other  eggs production units"
367.0	"NC"	"eggs_use_2"	"What does your household do with the   livestock_label  eggs  Do you consume them  use them in the home  sell them"
368.0	"ND"	"eggs_consumed_amount_2"	"About how many eggs does your household keep for eating  or home use"
369.0	"NE"	"eggs_sell_amount_2"	"About how many eggs does your household sell"
370.0	"NF"	"eggs_sold_income_2"	"How much money does your household make from selling the   livestock_label  eggs"
371.0	"NG"	"eggs_sold_price_timeunits_2"	"Time unit of egg sales"
372.0	"NH"	"eggs_sold_price_timeunits_other_2"	"Specify  other  time units  "
373.0	"NI"	"eggs_who_sells_2"	"Who usually decides what do to with the income from selling the   livestock_label  eggs"
374.0	"NJ"	"eggs_who_control_eating_2"	"Who usually decides when to eat the   livestock_label  eggs"
375.0	"NK"	"bees_honey_production_2"	"How much honey did you collect in in the last 12 months"
376.0	"NL"	"bees_honey_production_units_2"	"Unit of honey production"
377.0	"NM"	"bees_honey_use_2"	"What did you do with the honey  Eat it  sell it"
378.0	"NN"	"bees_honey_production_units_other_2"	"Specify  other  honey units"
379.0	"NO"	"bees_honey_consumed_amount_2"	"About how honey much was consumed"
380.0	"NP"	"bees_honey_sell_amount_2"	"About how honey much was sold"
381.0	"NQ"	"bees_honey_sold_income_2"	"How much money was made from selling the honey"
382.0	"NR"	"bees_who_sells_2"	"Who usually decides what do to with the income from selling the honey"
383.0	"NS"	"bees_who_control_eating_2"	"Who usually decides when to eat the honey"
384.0	"NT"	"livestock_name_3"	"I m going to ask you about each of your most important livestock in turn  Define livestock number   livestock_rep_number"
385.0	"NU"	"livestock_label_3"	"Livestock name in local language"
386.0	"NV"	"animals_draught_3"	"How many   livestock_label  does your household use for draught power"
387.0	"NW"	"livestock_breeds_3"	"Are they local breeds"
388.0	"NX"	"beehive_count_3"	"How many bee hives does your household have at the moment"
389.0	"NY"	"livestock_housing_3"	"How much time are the   livestock_label  kept inside a pen or stable"
390.0	"NZ"	"livestock_bought_3"	"How many   livestock_label  did you buy  or receive  in the last 12 months"
391.0	"OA"	"livestock_sold_3"	"How many live   livestock_label  have you sold in the last 12 months"
392.0	"OB"	"livestock_sale_income_3"	"How much money did you make from selling live   livestock_label  in the last 12 months"
393.0	"OC"	"livestock_ownership_3"	"Who in the household owns the   livestock_label"
394.0	"OD"	"livestock_who_sells_3"	"Who usually decides what do to with the income from selling the live   livestock_label"
395.0	"OE"	"livestock_died_3"	"Did any of the   livestock_label  die during the last 12 months  How many"
396.0	"OF"	"mortality_meat_use_3"	"What did you do with the meat from the   livestock_label  that died  Eat it  sell it  dispose of it"
397.0	"OG"	"killed_for_meat_3"	"How many   livestock_label  have you slaughtered for meat in the last 12 months"
398.0	"OH"	"meat_use_3"	"What did you do with the meat  Eat it  sell it"
399.0	"OI"	"meat_consumed_amount_3"	"About how much did you eat"
400.0	"OJ"	"meat_sell_amount_3"	"About how much did you sell"
401.0	"OK"	"meat_sold_income_3"	"How much money did you make from selling the   livestock_label  meat in the last 12 months"
402.0	"OL"	"livestock_meat_who_sells_3"	"Who usually decides what do to with the income from selling the   livestock_label  meat"
403.0	"OM"	"livestock_meat_who_control_eating_3"	"Who usually decides when to eat   livestock_label  meat"
404.0	"ON"	"milk_harvest_3"	"Does your household collect milk from the   livestock_label"
405.0	"OO"	"milk_amount_good_season_3"	"About how much milk do the   livestock_label  produce  during the good season"
406.0	"OP"	"milk_units_3"	"Unit milk production"
407.0	"OQ"	"milk_amount_bad_season_3"	"About how much milk do the   livestock_label  produce  during the bad season"
408.0	"OR"	"milk_number_animals_milked_3"	"How many   livestock_label  did you milk per day"
409.0	"OS"	"milk_amount_units_other_3"	"Define milk production  other  units"
410.0	"OT"	"milk_use_3"	"What does your household do with the   livestock_label  milk  Drink it at home  sell it  make dairy products"
411.0	"OU"	"milk_consumed_amount_3"	"About how much of the   livestock_label  milk does the household consume"
412.0	"OV"	"milk_sell_amount_3"	"About how much   livestock_label  milk does your household sell"
413.0	"OW"	"milk_sold_income_3"	"How much money does your household make from selling the   livestock_label  milk"
414.0	"OX"	"milk_sold_price_timeunits_3"	"Time unit milk sales"
415.0	"OY"	"milk_amount_time_units_other_3"	"Specify  other  time units"
416.0	"OZ"	"milk_who_sells_3"	"Who usually decides what do to with the income from selling the   livestock_label  milk"
417.0	"PA"	"milk_who_control_eating_3"	"Who usually decides when to eat the   livestock_label  milk"
418.0	"PB"	"eggs_harvest_3"	"Does your household collect eggs from the   livestock_label"
419.0	"PC"	"eggs_amount_good_3"	"How many eggs do the   livestock_label  usually produce  during the good season"
420.0	"PD"	"eggs_units_3"	"Unit of egg production"
421.0	"PE"	"eggs_amount_bad_3"	"How many eggs do the   livestock_label  usually produce  during the bad season"
422.0	"PF"	"eggs_amount_units_other_3"	"Specify  other  eggs production units"
423.0	"PG"	"eggs_use_3"	"What does your household do with the   livestock_label  eggs  Do you consume them  use them in the home  sell them"
424.0	"PH"	"eggs_consumed_amount_3"	"About how many eggs does your household keep for eating  or home use"
425.0	"PI"	"eggs_sell_amount_3"	"About how many eggs does your household sell"
426.0	"PJ"	"eggs_sold_income_3"	"How much money does your household make from selling the   livestock_label  eggs"
427.0	"PK"	"eggs_sold_price_timeunits_3"	"Time unit of egg sales"
428.0	"PL"	"eggs_sold_price_timeunits_other_3"	"Specify  other  time units  "
429.0	"PM"	"eggs_who_sells_3"	"Who usually decides what do to with the income from selling the   livestock_label  eggs"
430.0	"PN"	"eggs_who_control_eating_3"	"Who usually decides when to eat the   livestock_label  eggs"
431.0	"PO"	"bees_honey_production_3"	"How much honey did you collect in in the last 12 months"
432.0	"PP"	"bees_honey_production_units_3"	"Unit of honey production"
433.0	"PQ"	"bees_honey_use_3"	"What did you do with the honey  Eat it  sell it"
434.0	"PR"	"bees_honey_production_units_other_3"	"Specify  other  honey units"
435.0	"PS"	"bees_honey_consumed_amount_3"	"About how honey much was consumed"
436.0	"PT"	"bees_honey_sell_amount_3"	"About how honey much was sold"
437.0	"PU"	"bees_honey_sold_income_3"	"How much money was made from selling the honey"
438.0	"PV"	"bees_who_sells_3"	"Who usually decides what do to with the income from selling the honey"
439.0	"PW"	"bees_who_control_eating_3"	"Who usually decides when to eat the honey"
440.0	"PX"	"livestock_name_4"	"I m going to ask you about each of your most important livestock in turn  Define livestock number   livestock_rep_number"
441.0	"PY"	"livestock_label_4"	"Livestock name in local language"
442.0	"PZ"	"animals_draught_4"	"How many   livestock_label  does your household use for draught power"
443.0	"QA"	"livestock_breeds_4"	"Are they local breeds"
444.0	"QB"	"beehive_count_4"	"How many bee hives does your household have at the moment"
445.0	"QC"	"livestock_housing_4"	"How much time are the   livestock_label  kept inside a pen or stable"
446.0	"QD"	"livestock_bought_4"	"How many   livestock_label  did you buy  or receive  in the last 12 months"
447.0	"QE"	"livestock_sold_4"	"How many live   livestock_label  have you sold in the last 12 months"
448.0	"QF"	"livestock_sale_income_4"	"How much money did you make from selling live   livestock_label  in the last 12 months"
449.0	"QG"	"livestock_ownership_4"	"Who in the household owns the   livestock_label"
450.0	"QH"	"livestock_who_sells_4"	"Who usually decides what do to with the income from selling the live   livestock_label"
451.0	"QI"	"livestock_died_4"	"Did any of the   livestock_label  die during the last 12 months  How many"
452.0	"QJ"	"mortality_meat_use_4"	"What did you do with the meat from the   livestock_label  that died  Eat it  sell it  dispose of it"
453.0	"QK"	"killed_for_meat_4"	"How many   livestock_label  have you slaughtered for meat in the last 12 months"
454.0	"QL"	"meat_use_4"	"What did you do with the meat  Eat it  sell it"
455.0	"QM"	"meat_consumed_amount_4"	"About how much did you eat"
456.0	"QN"	"meat_sell_amount_4"	"About how much did you sell"
457.0	"QO"	"meat_sold_income_4"	"How much money did you make from selling the   livestock_label  meat in the last 12 months"
458.0	"QP"	"livestock_meat_who_sells_4"	"Who usually decides what do to with the income from selling the   livestock_label  meat"
459.0	"QQ"	"livestock_meat_who_control_eating_4"	"Who usually decides when to eat   livestock_label  meat"
460.0	"QR"	"milk_harvest_4"	"Does your household collect milk from the   livestock_label"
461.0	"QS"	"milk_amount_good_season_4"	"About how much milk do the   livestock_label  produce  during the good season"
462.0	"QT"	"milk_units_4"	"Unit milk production"
463.0	"QU"	"milk_amount_bad_season_4"	"About how much milk do the   livestock_label  produce  during the bad season"
464.0	"QV"	"milk_number_animals_milked_4"	"How many   livestock_label  did you milk per day"
465.0	"QW"	"milk_amount_units_other_4"	"Define milk production  other  units"
466.0	"QX"	"milk_use_4"	"What does your household do with the   livestock_label  milk  Drink it at home  sell it  make dairy products"
467.0	"QY"	"milk_consumed_amount_4"	"About how much of the   livestock_label  milk does the household consume"
468.0	"QZ"	"milk_sell_amount_4"	"About how much   livestock_label  milk does your household sell"
469.0	"RA"	"milk_sold_income_4"	"How much money does your household make from selling the   livestock_label  milk"
470.0	"RB"	"milk_sold_price_timeunits_4"	"Time unit milk sales"
471.0	"RC"	"milk_amount_time_units_other_4"	"Specify  other  time units"
472.0	"RD"	"milk_who_sells_4"	"Who usually decides what do to with the income from selling the   livestock_label  milk"
473.0	"RE"	"milk_who_control_eating_4"	"Who usually decides when to eat the   livestock_label  milk"
474.0	"RF"	"eggs_harvest_4"	"Does your household collect eggs from the   livestock_label"
475.0	"RG"	"eggs_amount_good_4"	"How many eggs do the   livestock_label  usually produce  during the good season"
476.0	"RH"	"eggs_units_4"	"Unit of egg production"
477.0	"RI"	"eggs_amount_bad_4"	"How many eggs do the   livestock_label  usually produce  during the bad season"
478.0	"RJ"	"eggs_amount_units_other_4"	"Specify  other  eggs production units"
479.0	"RK"	"eggs_use_4"	"What does your household do with the   livestock_label  eggs  Do you consume them  use them in the home  sell them"
480.0	"RL"	"eggs_consumed_amount_4"	"About how many eggs does your household keep for eating  or home use"
481.0	"RM"	"eggs_sell_amount_4"	"About how many eggs does your household sell"
482.0	"RN"	"eggs_sold_income_4"	"How much money does your household make from selling the   livestock_label  eggs"
483.0	"RO"	"eggs_sold_price_timeunits_4"	"Time unit of egg sales"
484.0	"RP"	"eggs_sold_price_timeunits_other_4"	"Specify  other  time units  "
485.0	"RQ"	"eggs_who_sells_4"	"Who usually decides what do to with the income from selling the   livestock_label  eggs"
486.0	"RR"	"eggs_who_control_eating_4"	"Who usually decides when to eat the   livestock_label  eggs"
487.0	"RS"	"bees_honey_production_4"	"How much honey did you collect in in the last 12 months"
488.0	"RT"	"bees_honey_production_units_4"	"Unit of honey production"
489.0	"RU"	"bees_honey_use_4"	"What did you do with the honey  Eat it  sell it"
490.0	"RV"	"bees_honey_production_units_other_4"	"Specify  other  honey units"
491.0	"RW"	"bees_honey_consumed_amount_4"	"About how honey much was consumed"
492.0	"RX"	"bees_honey_sell_amount_4"	"About how honey much was sold"
493.0	"RY"	"bees_honey_sold_income_4"	"How much money was made from selling the honey"
494.0	"RZ"	"bees_who_sells_4"	"Who usually decides what do to with the income from selling the honey"
495.0	"SA"	"bees_who_control_eating_4"	"Who usually decides when to eat the honey"
496.0	"SB"	"livestock_name_5"	"I m going to ask you about each of your most important livestock in turn  Define livestock number   livestock_rep_number"
497.0	"SC"	"livestock_label_5"	"Livestock name in local language"
498.0	"SD"	"animals_draught_5"	"How many   livestock_label  does your household use for draught power"
499.0	"SE"	"livestock_breeds_5"	"Are they local breeds"
500.0	"SF"	"beehive_count_5"	"How many bee hives does your household have at the moment"
501.0	"SG"	"livestock_housing_5"	"How much time are the   livestock_label  kept inside a pen or stable"
502.0	"SH"	"livestock_bought_5"	"How many   livestock_label  did you buy  or receive  in the last 12 months"
503.0	"SI"	"livestock_sold_5"	"How many live   livestock_label  have you sold in the last 12 months"
504.0	"SJ"	"livestock_sale_income_5"	"How much money did you make from selling live   livestock_label  in the last 12 months"
505.0	"SK"	"livestock_ownership_5"	"Who in the household owns the   livestock_label"
506.0	"SL"	"livestock_who_sells_5"	"Who usually decides what do to with the income from selling the live   livestock_label"
507.0	"SM"	"livestock_died_5"	"Did any of the   livestock_label  die during the last 12 months  How many"
508.0	"SN"	"mortality_meat_use_5"	"What did you do with the meat from the   livestock_label  that died  Eat it  sell it  dispose of it"
509.0	"SO"	"killed_for_meat_5"	"How many   livestock_label  have you slaughtered for meat in the last 12 months"
510.0	"SP"	"meat_use_5"	"What did you do with the meat  Eat it  sell it"
511.0	"SQ"	"meat_consumed_amount_5"	"About how much did you eat"
512.0	"SR"	"meat_sell_amount_5"	"About how much did you sell"
513.0	"SS"	"meat_sold_income_5"	"How much money did you make from selling the   livestock_label  meat in the last 12 months"
514.0	"ST"	"livestock_meat_who_sells_5"	"Who usually decides what do to with the income from selling the   livestock_label  meat"
515.0	"SU"	"livestock_meat_who_control_eating_5"	"Who usually decides when to eat   livestock_label  meat"
516.0	"SV"	"milk_harvest_5"	"Does your household collect milk from the   livestock_label"
517.0	"SW"	"milk_amount_good_season_5"	"About how much milk do the   livestock_label  produce  during the good season"
518.0	"SX"	"milk_units_5"	"Unit milk production"
519.0	"SY"	"milk_amount_bad_season_5"	"About how much milk do the   livestock_label  produce  during the bad season"
520.0	"SZ"	"milk_number_animals_milked_5"	"How many   livestock_label  did you milk per day"
521.0	"TA"	"milk_amount_units_other_5"	"Define milk production  other  units"
522.0	"TB"	"milk_use_5"	"What does your household do with the   livestock_label  milk  Drink it at home  sell it  make dairy products"
523.0	"TC"	"milk_consumed_amount_5"	"About how much of the   livestock_label  milk does the household consume"
524.0	"TD"	"milk_sell_amount_5"	"About how much   livestock_label  milk does your household sell"
525.0	"TE"	"milk_sold_income_5"	"How much money does your household make from selling the   livestock_label  milk"
526.0	"TF"	"milk_sold_price_timeunits_5"	"Time unit milk sales"
527.0	"TG"	"milk_amount_time_units_other_5"	"Specify  other  time units"
528.0	"TH"	"milk_who_sells_5"	"Who usually decides what do to with the income from selling the   livestock_label  milk"
529.0	"TI"	"milk_who_control_eating_5"	"Who usually decides when to eat the   livestock_label  milk"
530.0	"TJ"	"eggs_harvest_5"	"Does your household collect eggs from the   livestock_label"
531.0	"TK"	"eggs_amount_good_5"	"How many eggs do the   livestock_label  usually produce  during the good season"
532.0	"TL"	"eggs_units_5"	"Unit of egg production"
533.0	"TM"	"eggs_amount_bad_5"	"How many eggs do the   livestock_label  usually produce  during the bad season"
534.0	"TN"	"eggs_amount_units_other_5"	"Specify  other  eggs production units"
535.0	"TO"	"eggs_use_5"	"What does your household do with the   livestock_label  eggs  Do you consume them  use them in the home  sell them"
536.0	"TP"	"eggs_consumed_amount_5"	"About how many eggs does your household keep for eating  or home use"
537.0	"TQ"	"eggs_sell_amount_5"	"About how many eggs does your household sell"
538.0	"TR"	"eggs_sold_income_5"	"How much money does your household make from selling the   livestock_label  eggs"
539.0	"TS"	"eggs_sold_price_timeunits_5"	"Time unit of egg sales"
540.0	"TT"	"eggs_sold_price_timeunits_other_5"	"Specify  other  time units  "
541.0	"TU"	"eggs_who_sells_5"	"Who usually decides what do to with the income from selling the   livestock_label  eggs"
542.0	"TV"	"eggs_who_control_eating_5"	"Who usually decides when to eat the   livestock_label  eggs"
543.0	"TW"	"bees_honey_production_5"	"How much honey did you collect in in the last 12 months"
544.0	"TX"	"bees_honey_production_units_5"	"Unit of honey production"
545.0	"TY"	"bees_honey_use_5"	"What did you do with the honey  Eat it  sell it"
546.0	"TZ"	"bees_honey_production_units_other_5"	"Specify  other  honey units"
547.0	"UA"	"bees_honey_consumed_amount_5"	"About how honey much was consumed"
548.0	"UB"	"bees_honey_sell_amount_5"	"About how honey much was sold"
549.0	"UC"	"bees_honey_sold_income_5"	"How much money was made from selling the honey"
550.0	"UD"	"bees_who_sells_5"	"Who usually decides what do to with the income from selling the honey"
551.0	"UE"	"bees_who_control_eating_5"	"Who usually decides when to eat the honey"
552.0	"UF"	"dairy_products_yn"	"Does your household make any dairy products "
553.0	"UG"	"dairy_products"	"What dairy products does your household make "
554.0	"UH"	"dairy_products_other"	"Define  other  dairy product "
555.0	"UI"	"cheese_amount"	"How much cheese does your household usually produce "
556.0	"UJ"	"cheese_units"	"Unit of cheese production"
557.0	"UK"	"cheese_time_units"	"Time unit of cheese production"
558.0	"UL"	"cheese_amount_units_other"	"Specify the cheese amount  other  units "
559.0	"UM"	"cheese_amount_time_units_other"	"Specify time unit  other  "
560.0	"UN"	"cheese_use"	"What does your household do with the cheese  Is it consumed or sold "
561.0	"UO"	"cheese_consumed_amount"	"About how much cheese does your household eat "
562.0	"UP"	"cheese_sell_amount"	"About how much cheese does your household sell "
563.0	"UQ"	"cheese_sold_income"	"How much money does your household make from selling the cheese "
564.0	"UR"	"cheese_sold_price_timeunits"	"Time unit of cheese sales"
565.0	"US"	"butter_amount"	"How much butter does your household usually produce "
566.0	"UT"	"butter_units"	"Unit of butter production"
567.0	"UU"	"butter_time_units"	"Time unit of butter production"
568.0	"UV"	"butter_amount_units_other"	"Specify the butter amount  other  units "
569.0	"UW"	"butter_amount_time_units_other"	"Specify time unit  other   1"
570.0	"UX"	"butter_use"	"What does your household do with the butter  does your household eat it  sell it "
571.0	"UY"	"butter_consumed_amount"	"About how much butter does your household eat "
572.0	"UZ"	"butter_sell_amount"	"About how much butter does your household sell "
573.0	"VA"	"butter_sold_income"	"How much money does your household make from selling the butter "
574.0	"VB"	"butter_sold_price_timeunits"	"Time unit of butter sales"
575.0	"VC"	"other_dairy_amount"	"How much   dairy_products_other  does your household usually produce "
576.0	"VD"	"other_dairy_units"	"Specify other dairy units"
577.0	"VE"	"other_dairy_time_units"	"Specify other dairy timeunits"
578.0	"VF"	"other_dairy_amount_units_other"	"Specify the   dairy_products_other  amount  other  units "
579.0	"VG"	"other_dairy_amount_time_units_other"	"Specify time unit  other   2"
580.0	"VH"	"other_dairy_use"	"What does your household do with the   dairy_products_other   does your household eat it  sell it "
581.0	"VI"	"other_dairy_consumed_amount"	"About how much   dairy_products_other  does your household eat "
582.0	"VJ"	"other_dairy_sell_amount"	"About how much   dairy_products_other  does your household sell "
583.0	"VK"	"other_dairy_sold_income"	"How much money does your household make from selling the   dairy_products_other  "
584.0	"VL"	"other_dairy_sold_price_timeunits"	"Time unit dairy sales"
585.0	"VM"	"dairy_products_who_sells"	"Who usually decides what do to with the income from selling the dairy products "
586.0	"VN"	"dairy_products_who_control_eating"	"Who usually decides when to eat the dairy products "
587.0	"VO"	"wool_collect"	"Does your household collect wool from your sheep or goats "
588.0	"VP"	"wool_use"	"Does your household sell the wool or use it at home "
589.0	"VQ"	"wool_sold_income"	"How much money did you make from selling wool in the last 12 months "
590.0	"VR"	"livestock_wool_who_sells"	"Who usually decides what do to with the income from selling the wool "
591.0	"VS"	"Livestock_Inputs_use"	"Did you buy or use any medicines for your livestock "
592.0	"VT"	"Livestock_Medicines"	"What medicines does your household use "
593.0	"VU"	"Livestock_Medicines_other"	"Define  other  livestock medicine "
594.0	"VV"	"Livestock_which_medicines"	"Which animals does your household give the medicines to "
595.0	"VW"	"livestock_manure"	"What does your household do with the manure from the animal s stables or pens "
596.0	"VX"	"gather_wildfoods"	"Does your household gather any wild foods?"
597.0	"VY"	"wildfoods"	"What types of foods did you gather in the last 12 months "
598.0	"VZ"	"wildfood_collect_when"	"What times of year does your household collect wild foods "
599.0	"WA"	"wildfood_use"	"Does your household eat the wild foods  or sell them "
600.0	"WB"	"wildfoods_sold_income"	"About how much money did you make from selling wild foods during the last 12 months "
601.0	"WC"	"wildfoods_who_control_revenue"	"Who usually decides what do to with the income from the wild foods "
602.0	"WD"	"wildfood_amount"	"Approximately how much of your household s food comes from wild foods "
603.0	"WE"	"foodshortagetime"	"Is there a time of year when there is a less food compared to other times "
604.0	"WF"	"foodshortagetime_months_which"	"Which months were there food shortages in the last year "
605.0	"WG"	"food_worst_month"	"Which is the worst month of the year for food "
606.0	"WH"	"food_worst_month_label"	"food_worst_month_label"
607.0	"WI"	"food_best_month"	"Which is the best month of the year for food "
608.0	"WJ"	"food_best_month_label"	"food_best_month_label"
609.0	"WK"	"HFIAS_9"	"How often did somebody have to go a whole day and night without eating anything "
610.0	"WL"	"HFIAS_8"	"How often did somebody have to go to sleep hungry at night because there was not enough food "
611.0	"WM"	"HFIAS_7"	"How often was there no food to eat of any kind in your household "
612.0	"WN"	"HFIAS_6"	"How often did somebody have to eat fewer meals than they wanted "
613.0	"WO"	"HFIAS_5"	"How often did somebody have to eat smaller meals than they wanted "
614.0	"WP"	"HFIAS_4"	"How often did somebody have to eat some foods that you really did not want to eat "
615.0	"WQ"	"HFIAS_3"	"How often did someone have to eat a limited variety of foods "
616.0	"WR"	"HFIAS_2"	"How often was someone in the house not able to eat the kinds of food they wanted to eat "
617.0	"WS"	"HFIAS_1"	"How often did you ever worry that there will not be enough food for your household "
618.0	"WT"	"FIES_1"	"You were worried you would not have enough to eat?"
619.0	"WU"	"FIES_2"	"You were unable to eat healthy and nutritious food?"
620.0	"WV"	"FIES_3"	"You ate only a few kinds of foods?"
621.0	"WW"	"FIES_4"	"You had to skip a meal?"
622.0	"WX"	"FIES_5"	"You ate less than you thought you should?"
623.0	"WY"	"FIES_6"	"Your household ran out of food?"
624.0	"WZ"	"FIES_7"	"You were hungry but did not eat?"
625.0	"XA"	"FIES_8"	"You went without eating for a whole day?"
626.0	"XB"	"HDDS_type"	"Which type of food grouping information is presented?"
627.0	"XC"	"GrainsRootsTubers_good_season"	"How often were these eaten in your household during the best month in the last year "
628.0	"XD"	"GrainsRootsTubers_bad_season"	"How often were these eaten in your household during the worst month in the last year "
629.0	"XE"	"GrainsRootsTubers_last_month"	"How often were these eaten in your household during the last month "
630.0	"XF"	"GrainsRootsTubers_source_good"	"During the best month "
631.0	"XG"	"GrainsRootsTubers_source_bad"	"During the worst month "
632.0	"XH"	"GrainsRootsTubers_source_last_month"	"During the last month "
633.0	"XI"	"Legumes_good_season"	"How often were these eaten in your household during the best month in the last year  1"
634.0	"XJ"	"Legumes_bad_season"	"How often were these eaten in your household during the worst month in the last year  1"
635.0	"XK"	"Legumes_last_month"	"How often were these eaten in your household during the last month  1"
636.0	"XL"	"Legumes_source_good"	"During the best month  1"
637.0	"XM"	"Legumes_source_bad"	"During the worst month  1"
638.0	"XN"	"Legumes_source_last_month"	"During the last month  1"
639.0	"XO"	"Nuts_Seeds_good_season"	"How often were these eaten in your household during the best month in the last year  2"
640.0	"XP"	"Nuts_Seeds_bad_season"	"How often were these eaten in your household during the worst month in the last year  2"
641.0	"XQ"	"Nuts_Seeds_last_month"	"How often were these eaten in your household during the last month  2"
642.0	"XR"	"Nuts_Seeds_source_good"	"During the best month  2"
643.0	"XS"	"Nuts_Seeds_source_bad"	"During the worst month  2"
644.0	"XT"	"Nuts_Seeds_source_last_month"	"During the last month  2"
645.0	"XU"	"Veg_Leafy_good_season"	"How often were these eaten in your household during the best month in the last year  3"
646.0	"XV"	"Veg_Leafy_bad_season"	"How often were these eaten in your household during the worst month in the last year  3"
647.0	"XW"	"Veg_Leafy_last_month"	"How often were these eaten in your household during the last month  3"
648.0	"XX"	"Veg_Leafy_source_good"	"During the best month  3"
649.0	"XY"	"Veg_Leafy_source_bad"	"During the worst month  3"
650.0	"XZ"	"Veg_Leafy_source_last_month"	"During the last month  3"
651.0	"YA"	"VitA_Veg_Fruit_good_season"	"How often were these eaten in your household during the best month in the last year  4"
652.0	"YB"	"VitA_Veg_Fruit_bad_season"	"How often were these eaten in your household during the worst month in the last year  4"
653.0	"YC"	"VitA_Veg_Fruit_last_month"	"How often were these eaten in your household during the last month  4"
654.0	"YD"	"VitA_Veg_Fruit_source_good"	"During the best month  4"
655.0	"YE"	"VitA_Veg_Fruit_source_bad"	"During the worst month  4"
656.0	"YF"	"VitA_Veg_Fruit_source_last_month"	"During the last month  4"
657.0	"YG"	"Vegetables_good_season"	"How often were these eaten in your household during the best month in the last year  5"
658.0	"YH"	"Vegetables_bad_season"	"How often were these eaten in your household during the worst month in the last year  5"
659.0	"YI"	"Vegetables_last_month"	"How often were these eaten in your household during the last month  5"
660.0	"YJ"	"Vegetables_source_good"	"During the best month  5"
661.0	"YK"	"Vegetables_source_bad"	"During the worst month  5"
662.0	"YL"	"Vegetables_source_last_month"	"During the last month  5"
663.0	"YM"	"Fruits_good_season"	"How often were these eaten in your household during the best month in the last year  6"
664.0	"YN"	"Fruits_bad_season"	"How often were these eaten in your household during the worst month in the last year  6"
665.0	"YO"	"Fruits_last_month"	"How often were these eaten in your household during the last month  6"
666.0	"YP"	"Fruits_source_good"	"During the best month  6"
667.0	"YQ"	"Fruits_source_bad"	"During the worst month  6"
668.0	"YR"	"Fruits_source_last_month"	"During the last month  6"
669.0	"YS"	"Meat_good_season"	"How often were these eaten in your household during the best month in the last year  7"
670.0	"YT"	"Meat_bad_season"	"How often were these eaten in your household during the worst month in the last year  7"
671.0	"YU"	"Meat_last_month"	"How often were these eaten in your household during the last month  7"
672.0	"YV"	"Meat_source_good"	"During the best month  7"
673.0	"YW"	"Meat_source_bad"	"During the worst month  7"
674.0	"YX"	"Meat_source_last_month"	"During the last month  7"
675.0	"YY"	"Eggs_good_season"	"How often were these eaten in your household during the best month in the last year  8"
676.0	"YZ"	"Eggs_bad_season"	"How often were these eaten in your household during the worst month in the last year  8"
677.0	"ZA"	"Eggs_last_month"	"How often were these eaten in your household during the last month  8"
678.0	"ZB"	"Eggs_source_good"	"During the best month  8"
679.0	"ZC"	"Eggs_source_bad"	"During the worst month  8"
680.0	"ZD"	"Eggs_source_last_month"	"During the last month  8"
681.0	"ZE"	"Milk_Dairy_good_season"	"How often were these eaten in your household during the best month in the last year  9"
682.0	"ZF"	"Milk_Dairy_bad_season"	"How often were these eaten in your household during the worst month in the last year  9"
683.0	"ZG"	"Milk_Dairy_last_month"	"How often were these eaten in your household during the last month  9"
684.0	"ZH"	"Milk_Dairy_source_good"	"During the best month  9"
685.0	"ZI"	"Milk_Dairy_source_bad"	"During the worst month  9"
686.0	"ZJ"	"Milk_Dairy_source_last_month"	"During the last month  9"
